Date,Closing Price (Yen) (Nilai aktual),Closing Price (Yen) (Nilai Prediksi)
2024-03-01,39910.82,39168.11111109614
2024-03-04,40109.23,40129.570958637
2024-03-05,40097.63,40225.27445939421
2024-03-06,40090.78,39752.28800556898
2024-03-07,39598.71,40147.29832382798
2024-03-08,39688.94,39764.36296442866
2024-03-11,38820.49,39189.8712418282
2024-03-12,38797.51,39168.43783978581
2024-03-13,38695.97,38982.25616352975
2024-03-14,38807.38,38805.43993178546
2024-03-15,38707.64,38355.73989842832
2024-03-18,39740.44,38887.98560145438
2024-03-19,40003.6,39877.112367681264
2024-03-21,40815.66,39760.53090365409
2024-03-22,40888.43,40859.31015191078
2024-03-25,40414.12,40985.99686755418
2024-03-26,40398.03,40297.90624710798
2024-03-27,40762.73,40517.2252138257
2024-03-28,40168.07,41312.982272623776
2024-03-29,40369.44,40113.11316778302
