Date,Closing Price (Yen) (Nilai aktual),Closing Price (Yen) (Nilai Prediksi)
2024-03-01,39910.82,39168.11111109614
2024-03-04,40109.23,39304.473663506506
2024-03-05,40097.63,39081.57701763689
2024-03-06,40090.78,38877.08686587751
2024-03-07,39598.71,39595.92498979807
2024-03-08,39688.94,39384.56420045018
2024-03-11,38820.49,39123.746022591586
2024-03-12,38797.51,39082.32615984678
2024-03-13,38695.97,40119.61506870746
2024-03-14,38807.38,39242.474560865165
2024-03-15,38707.64,39084.05782190203
2024-03-18,39740.44,38712.08887759387
2024-03-19,40003.6,38852.77825136602
2024-03-21,40815.66,39112.87062477827
2024-03-22,40888.43,38785.82687529981
2024-03-25,40414.12,39770.83219248414
2024-03-26,40398.03,38845.6555659312
2024-03-27,40762.73,38918.97348389327
2024-03-28,40168.07,39838.64706580162
2024-03-29,40369.44,38211.0691021949
