Date,Closing Price (Yen) (Nilai aktual),Closing Price (Yen) (Nilai Prediksi)
2024-03-01,39910.82,39168.11111109614
2024-03-04,40109.23,39171.00499377608
2024-03-05,40097.63,38940.458229015465
2024-03-06,40090.78,39027.221032557485
2024-03-07,39598.71,39085.27371938288
2024-03-08,39688.94,39226.06811309099
2024-03-11,38820.49,38666.08547808826
2024-03-12,38797.51,38142.12934867441
2024-03-13,38695.97,38232.24345506191
2024-03-14,38807.38,38309.370096035
2024-03-15,38707.64,38090.4268673104
2024-03-18,39740.44,38004.604575639365
2024-03-19,40003.6,38054.708420200346
2024-03-21,40815.66,38333.27730101347
2024-03-22,40888.43,38504.70250937819
2024-03-25,40414.12,38582.316909609435
2024-03-26,40398.03,38532.86185487508
2024-03-27,40762.73,38315.61528156042
2024-03-28,40168.07,38244.5657942152
2024-03-29,40369.44,38278.97032523751
