Date,moneyStock
1968/01,15.7
1968/02,15.8
1968/03,15.3
1968/04,15.4
1968/05,16.6
1968/06,16.4
1968/07,16
1968/08,15.6
1968/09,14.9
1968/10,14.6
1968/11,15.4
1968/12,15.6
1969/01,15.9
1969/02,15.7
1969/03,15.7
1969/04,16.5
1969/05,16.7
1969/06,16.8
1969/07,17.4
1969/08,18.1
1969/09,18.2
1969/10,18.5
1969/11,18.5
1969/12,18.7
1970/01,18.9
1970/02,19
1970/03,18.7
1970/04,18.6
1970/05,19.1
1970/06,18.6
1970/07,18.6
1970/08,18.2
1970/09,17.8
1970/10,17.9
1970/11,17.4
1970/12,17
1971/01,17
1971/02,17.4
1971/03,17.8
1971/04,18.2
1971/05,18.8
1971/06,19.5
1971/07,20.8
1971/08,21.7
1971/09,22.6
1971/10,22.8
1971/11,22.8
1971/12,24.7
1972/01,25.1
1972/02,25.3
1972/03,26.1
1972/04,26.2
1972/05,25.5
1972/06,26.6
1972/07,27.1
1972/08,26.4
1972/09,26.9
1972/10,27.8
1972/11,28.5
1972/12,26.5
1973/01,26.1
1973/02,26.8
1973/03,26.9
1973/04,27.3
1973/05,26.5
1973/06,25.3
1973/07,22.8
1973/08,21.9
1973/09,20.6
1973/10,18.4
1973/11,17.3
1973/12,16
1974/01,15.5
1974/02,14.6
1974/03,12.8
1974/04,11.3
1974/05,11.7
1974/06,11.3
1974/07,11.1
1974/08,11.2
1974/09,10.6
1974/10,10.7
1974/11,11.2
1974/12,11.7
1975/01,11.9
1975/02,11.9
1975/03,12.3
1975/04,12.8
1975/05,12.6
1975/06,12.4
1975/07,13.1
1975/08,13.5
1975/09,13.8
1975/10,14.3
1975/11,13.9
1975/12,14.5
1976/01,15
1976/02,15.3
1976/03,15.7
1976/04,15.2
1976/05,15.5
1976/06,16.2
1976/07,15.5
1976/08,15.2
1976/09,15
1976/10,14.9
1976/11,14.3
1976/12,13.8
1977/01,13.1
1977/02,12.4
1977/03,12.2
1977/04,11.5
1977/05,11.2
1977/06,11
1977/07,11.2
1977/08,10.9
1977/09,11.3
1977/10,10.6
1977/11,10.8
1977/12,10.7
1978/01,10.6
1978/02,10.7
1978/03,11.1
1978/04,11.9
1978/05,11.5
1978/06,12
1978/07,12
1978/08,12.3
1978/09,12
1978/10,12.1
1978/11,12.3
1978/12,12.2
1979/01,12.3
1979/02,12.3
1979/03,12.2
1979/04,12.2
1979/05,12.8
1979/06,11.8
1979/07,11.9
1979/08,11.9
1979/09,11.4
1979/10,11.4
1979/11,11.1
1979/12,11
1980/01,10.6
1980/02,10.8
1980/03,10.6
1980/04,10.4
1980/05,10.3
1980/06,9.6
1980/07,8.8
1980/08,8.3
1980/09,8
1980/10,7.6
1980/11,7.9
1980/12,7.8
1981/01,7.4
1981/02,7.6
1981/03,7.7
1981/04,7.9
1981/05,7.5
1981/06,8.3
1981/07,9
1981/08,9.6
1981/09,10.1
1981/10,10.8
1981/11,10.4
1981/12,10.5
1982/01,10.7
1982/02,10.6
1982/03,10.5
1982/04,9.3
1982/05,9.4
1982/06,8.8
1982/07,9.3
1982/08,9
1982/09,8.9
1982/10,8.3
1982/11,8
1982/12,7.9
1983/01,7.7
1983/02,7.4
1983/03,7.6
1983/04,7.6
1983/05,7.5
1983/06,7.7
1983/07,7.1
1983/08,6.9
1983/09,7.2
1983/10,7.2
1983/11,6.8
1983/12,7.6
1984/01,7.6
1984/02,7.8
1984/03,8.4
1984/04,7.7
1984/05,7.6
1984/06,7.5
1984/07,7.7
1984/08,7.7
1984/09,8.1
1984/10,7.7
1984/11,8.1
1984/12,7.8
1985/01,7.9
1985/02,7.9
1985/03,7.9
1985/04,8.4
1985/05,8.3
1985/06,8.2
1985/07,8.2
1985/08,8.3
1985/09,8.3
1985/10,8.6
1985/11,9.1
1985/12,9.3
1986/01,9
1986/02,9
1986/03,9
1986/04,8.4
1986/05,8.4
1986/06,8.5
1986/07,8.7
1986/08,8.9
1986/09,8.9
1986/10,8.5
1986/11,8.3
1986/12,8.2
1987/01,8.6
1987/02,8.8
1987/03,9
1987/04,9.8
1987/05,10.2
1987/06,10
1987/07,10.3
1987/08,11
1987/09,11.1
1987/10,11.7
1987/11,12.4
1987/12,11.5
1988/01,11.9
1988/02,12.4
1988/03,11.8
1988/04,11.3
1988/05,11.4
1988/06,11.1
1988/07,11.1
1988/08,10.9
1988/09,10.6
1988/10,11
1988/11,10.3
1988/12,10.4
1989/01,10
1989/02,10.4
1989/03,10.3
1989/04,10.2
1989/05,9.4
1989/06,9.4
1989/07,9.8
1989/08,9.6
1989/09,9.6
1989/10,9.6
1989/11,9.9
1989/12,10.6
1990/01,11.5
1990/02,11.8
1990/03,11.6
1990/04,13.2
1990/05,13.2
1990/06,12.6
1990/07,12.2
1990/08,11.9
1990/09,12
1990/10,11.8
1990/11,9.9
1990/12,8.5
1991/01,7.4
1991/02,5.5
1991/03,5.1
1991/04,3.8
1991/05,3.6
1991/06,3.7
1991/07,3.4
1991/08,2.7
1991/09,2.2
1991/10,2.1
1991/11,2.4
1991/12,2
1992/01,1.8
1992/02,1.6
1992/03,1.8
1992/04,1.6
1992/05,1.1
1992/06,0.9
1992/07,0.2
1992/08,0.3
1992/09,-0.5
1992/10,-0.6
1992/11,-0.6
1992/12,-0.4
1993/01,-0.3
1993/02,0.1
1993/03,-0.4
1993/04,0.5
1993/05,1.5
1993/06,1.4
1993/07,1.6
1993/08,1.7
1993/09,1.9
1993/10,1.8
1993/11,1.5
1993/12,1.4
1994/01,1.6
1994/02,1.5
1994/03,1.9
1994/04,2.2
1994/05,1.7
1994/06,1.5
1994/07,2
1994/08,1.9
1994/09,2.3
1994/10,2.4
1994/11,2.7
1994/12,2.9
1995/01,3.1
