Date,Closing Price (Yen) (Nilai aktual),Closing Price (Yen) (Nilai Prediksi)
2024-03-01,39910.82,39168.92093149125
2024-03-04,40109.23,38454.40962893247
2024-03-05,40097.63,37045.36648318827
2024-03-06,40090.78,37566.785797704455
2024-03-07,39598.71,38759.760927193165
2024-03-08,39688.94,39285.0286389184
2024-03-11,38820.49,39871.47396400809
2024-03-12,38797.51,38627.98891287267
2024-03-13,38695.97,38328.60274697482
2024-03-14,38807.38,38108.719006379244
2024-03-15,38707.64,38383.53750859022
2024-03-18,39740.44,38594.34285916566
2024-03-19,40003.6,37380.96585678339
2024-03-21,40815.66,38879.408973350524
2024-03-22,40888.43,38103.88575554847
2024-03-25,40414.12,37402.459937011
2024-03-26,40398.03,39450.91812976956
2024-03-27,40762.73,39150.05935099184
2024-03-28,40168.07,37973.98076231182
2024-03-29,40369.44,39485.15929644703
