Date,Closing Price (Yen) (Nilai aktual),Closing Price (Yen) (Nilai Prediksi)
2024-03-01,39910.82,39168.92093149125
2024-03-04,40109.23,39834.273568912744
2024-03-05,40097.63,38959.78423100948
2024-03-06,40090.78,39807.35112488389
2024-03-07,39598.71,35666.58308166027
2024-03-08,39688.94,37028.92969632149
2024-03-11,38820.49,36972.706690158244
2024-03-12,38797.51,38009.666536552904
2024-03-13,38695.97,35428.99764741361
2024-03-14,38807.38,38907.62199570358
2024-03-15,38707.64,36017.57371031523
2024-03-18,39740.44,37406.09829434812
2024-03-19,40003.6,35393.941992788314
2024-03-21,40815.66,35470.20513651013
2024-03-22,40888.43,35975.78744468271
2024-03-25,40414.12,35284.69092029154
2024-03-26,40398.03,35194.35510515034
2024-03-27,40762.73,35397.774053562876
2024-03-28,40168.07,36423.00200622201
2024-03-29,40369.44,36778.74887108803
