,Closing Price (Yen),discount_rate
0,97.48,5.11
1,95.04,5.11
2,96.89,5.11
3,96.2,5.11
4,95.27,5.11
5,97.15,5.11
6,98.9,5.11
7,98.05000000000001,5.11
8,98.25,5.11
9,97.10000000000001,5.11
10,97.12000000000002,5.11
11,96.50999999999999,5.11
12,95.45,5.11
13,94.85,5.11
14,94.82,5.11
15,93.14,5.11
16,92.54,5.11
17,92.56,5.11
18,95.96,5.11
19,96.11,5.11
20,97.45,5.11
21,101.71,5.11
22,105.06,5.11
23,107.25,5.11
24,107.01,5.11
25,106.54,5.11
26,107.16,5.11
27,112.94000000000001,5.11
28,113.4,5.11
29,110.53,5.11
30,109.6,5.11
31,110.25,5.11
32,111.21,5.11
33,109.73,5.11
34,108.38,5.11
35,106.62,5.11
36,106.83,5.11
37,107.01,5.11
38,107.09,5.11
39,108.27,5.11
40,107.44,5.11
41,108.19,5.11
42,108.15,5.11
43,106.65,5.11
44,105.52,5.11
45,104.43,5.11
46,102.83,5.11
47,102.93,5.11
48,101.71,5.11
49,101.23,5.11
50,102.16,5.11
51,102.61,5.11
52,102.21,5.11
53,101.51999999999998,5.11
54,101.07,5.11
55,101.12,5.11
56,101.4,5.11
57,100.61,5.11
58,99.84000000000002,5.11
59,99.22,5.11
60,99.02,5.11
61,99.97,5.11
62,99.9,5.11
63,99.3,5.11
64,98.51,5.11
65,97.77999999999999,5.11
66,97.61,5.11
67,96.97,5.11
68,94.86,5.11
69,93.85,5.11
70,93.94999999999999,5.11
71,93.37,5.11
72,92.39,5.11
73,91.76,5.11
74,90.97,5.11
75,88.7,5.11
76,91.69,5.11
77,93.0,5.11
78,95.52,5.11
79,93.9,5.11
80,93.04000000000002,5.11
81,93.4,5.11
82,93.23,5.11
83,92.83,5.11
84,92.56,5.11
85,92.39,5.11
86,92.58999999999999,5.11
87,95.14,5.11
88,96.96,5.11
89,96.67,5.11
90,99.31,5.11
91,103.78,5.11
92,103.01,5.11
93,102.49,5.11
94,101.38,5.11
95,100.26,5.11
96,98.72,5.11
97,99.03,5.11
98,98.55000000000001,5.11
99,97.23,5.11
100,97.31,5.11
101,96.05,5.11
102,95.16,5.11
103,96.1,5.11
104,96.02,5.11
105,97.72,5.11
106,98.47,5.11
107,96.87000000000002,5.11
108,95.78,5.11
109,95.58000000000001,5.11
110,94.87,5.11
111,94.21,5.11
112,94.34,5.11
113,93.60999999999999,5.11
114,93.97,5.11
115,94.22000000000001,5.11
116,94.22000000000001,5.11
117,93.94,5.11
118,94.32,5.11
119,94.68,5.11
120,94.12,5.11
121,93.39,5.11
122,92.74,5.11
123,92.28,5.11
124,92.26,5.11
125,91.47,5.11
126,90.22,5.11
127,89.08,5.11
128,89.22,5.11
129,89.86,5.11
130,89.72,5.11
131,88.9,5.11
132,88.9,5.11
133,89.89,5.11
134,90.03,5.11
135,90.59,5.11
136,91.94,5.11
137,92.75,5.11
138,90.84,5.11
139,90.16,5.11
140,88.95,5.11
141,86.17,5.11
142,86.19,5.11
143,85.65,5.11
144,85.84,5.11
145,85.41,5.11
146,85.25,5.11
147,85.6,5.11
148,85.65,5.11
149,86.04,5.11
150,89.26,5.11
151,93.53999999999999,5.11
152,94.8,5.11
153,98.4,5.11
154,103.82,5.11
155,109.34,5.11
156,104.86,5.11
157,103.21,5.11
158,103.14,5.11
159,101.58,5.11
160,101.9,5.11
161,103.16,5.11
162,103.07,5.11
163,102.23,5.11
164,100.88,5.11
