,Conv1D_n_filters,Conv1D_kernel_size,LSTM_n_units,learning_rate
0,64,5,256,0.001
1,192,5,128,0.001
2,224,5,256,0.0001
3,192,5,128,0.001
4,32,8,256,0.001
5,128,6,32,0.001
6,128,6,32,0.001
7,64,5,256,0.001
8,96,5,256,0.0001
9,224,5,256,0.0001
10,192,5,128,0.001
11,160,7,256,0.0001
12,96,5,256,0.0001
13,96,10,224,0.0001
14,160,7,256,0.0001
15,32,5,224,0.0001
16,32,9,32,0.01
17,96,10,160,0.0001
18,128,6,32,0.001
19,224,7,192,0.0001
20,160,9,96,0.0001
21,256,8,32,0.001
22,160,10,32,0.01
23,128,9,96,0.01
24,128,7,32,0.0001
25,32,8,64,0.01
26,192,8,224,0.01
27,256,7,256,0.01
28,64,9,96,0.01
29,192,6,32,0.01
