,lstm_n_units_1,lstm_n_units_2,learning_rate
0,32,64,0.001
1,96,224,0.0001
2,32,64,0.001
3,128,64,0.001
4,192,192,0.001
5,224,224,0.001
6,192,192,0.001
7,128,192,0.001
8,256,160,0.001
9,32,64,0.001
10,64,192,0.01
11,224,224,0.001
12,128,192,0.001
13,96,96,0.001
14,64,192,0.01
15,224,192,0.0001
16,192,192,0.001
17,224,160,0.0001
18,96,96,0.001
19,160,32,0.0001
20,96,64,0.001
21,96,256,0.0001
22,160,96,0.01
23,192,224,0.01
24,160,128,0.01
25,64,96,0.0001
26,96,96,0.01
27,160,192,0.01
28,64,192,0.0001
29,32,128,0.0001
