,lstm_n_units,lstm_n_units_2,learning_rate
0,224,160,0.01
1,128,160,0.01
2,160,224,0.001
3,224,160,0.001
4,64,256,0.001
5,96,64,0.001
6,128,192,0.001
7,224,160,0.01
8,96,64,0.001
9,64,256,0.001
10,32,96,0.0001
11,64,64,0.001
12,128,192,0.001
13,64,64,0.001
14,224,160,0.01
15,128,160,0.0001
16,160,64,0.0001
17,64,256,0.001
18,224,256,0.001
19,192,192,0.0001
20,32,160,0.001
21,128,224,0.0001
22,32,128,0.01
23,224,256,0.001
24,32,32,0.01
25,192,192,0.001
26,160,192,0.001
27,192,192,0.01
28,224,128,0.01
29,256,224,0.001
