Daftar Model,mae,mse,rmse,mape,R-square
Model_1 : Conv1D Multivariate,370.4112548828125,317028.4375,563.0527954101562,2.2306034564971924,0.9939665974007825
Model_2 : LSTM Multivariate,177.73912048339844,63297.4609375,251.58985900878906,1.0506597757339478,0.9987953791997055
Model_3 : Stacked LSTM Multivariate,204.5663604736328,80623.171875,283.94219970703125,1.2017581462860107,0.9984656515538087
Model_4 : Bidirectional LSTM Multivariate,194.24404907226562,73342.1328125,270.8175354003906,1.1441975831985474,0.9986042179476887
Model_5 : CNN-LSTM Multivariate,185.6154327392578,66457.0703125,257.7926940917969,1.1181267499923706,0.9987352483961399
Model_6 : Conv1D Univariate,277.06842041015625,161943.125,402.42156982421875,1.6406687498092651,0.9969180429974848
Model_7 : LSTM Univariate,176.87979125976562,62641.29296875,250.2824249267578,1.0458645820617676,0.9988078668818199
Model_8 : Stacked LSTM Univariate,179.9508819580078,65140.421875,255.22621154785156,1.053924560546875,0.9987603055875132
Model_9 : Bidirectional LSTM Univariate,179.12396240234375,64099.49609375,253.1787872314453,1.0573240518569946,0.9987801155555444
Model_10 : CNN-LSTM Univariate,177.02088928222656,63010.78125,251.0194854736328,1.0429980754852295,0.9988008350852575
