,Conv1D_n_filters,Conv1_kernel_size,LSTM_n_units,learning_rate
0,128,6,160,0.001
1,224,7,256,0.001
2,32,6,64,0.01
3,160,8,96,0.001
4,192,8,192,0.01
5,32,6,64,0.01
6,128,6,160,0.001
7,96,9,192,0.01
8,96,8,96,0.01
9,256,5,192,0.01
10,64,7,192,0.01
11,192,9,96,0.0001
12,192,10,256,0.0001
13,64,6,160,0.01
14,224,7,256,0.001
15,192,8,192,0.01
16,128,7,192,0.01
17,224,7,256,0.001
18,256,7,160,0.0001
19,128,5,128,0.0001
20,32,10,64,0.001
21,128,5,32,0.0001
22,32,10,128,0.01
23,256,6,192,0.0001
24,96,7,192,0.0001
25,192,8,192,0.01
26,64,7,192,0.01
27,64,6,96,0.0001
28,64,6,160,0.01
29,224,6,224,0.01
